id_datetime,invest_drug_rowid,term_type,terms
2020-09-21T16:21:40Z,10,invest_idb_name,PSMA DNA VACCINE
2020-09-21T16:21:40Z,10,invest_idb_name,"PSMA DNA VACCINE, MOUSE"
2020-09-21T16:21:40Z,1001,invest_idb_name,MG-0103 (MGCD0103)
2020-09-21T16:21:40Z,1001,invest_idb_name Inside 1st Parentheses,MGCD0103
2020-09-21T16:21:40Z,1003,invest_idb_name,3F8 MOAB
2020-09-21T16:21:40Z,1005,invest_idb_name,DLYE5953A
2020-09-21T16:21:40Z,1011,invest_idb_name,"BRILANESTRANT (GDC-0810, ARN-810)"
2020-09-21T16:21:40Z,1011,invest_idb_name Front of 1st Parentheses,BRILANESTRANT
2020-09-21T16:21:40Z,1011,invest_idb_name Inside 1st Parentheses,GDC-0810
2020-09-21T16:21:40Z,1011,invest_idb_name Inside 1st Parentheses,ARN-810
2020-09-21T16:21:40Z,1011,invest_idb_name,GDC-0810
2020-09-21T16:21:40Z,1013,invest_idb_name,GDC-0927
2020-09-21T16:21:40Z,1018,invest_idb_name,SITRAVATINIB
2020-09-21T16:21:40Z,1018,invest_idb_name,SITRAVATINIB (MGCD516)
2020-09-21T16:21:40Z,1018,invest_idb_name Front of 1st Parentheses,SITRAVATINIB
2020-09-21T16:21:40Z,1018,invest_idb_name Inside 1st Parentheses,MGCD516
2020-09-21T16:21:40Z,1019,invest_idb_name,TALAGEDIB (LY2940680)
2020-09-21T16:21:40Z,1019,invest_idb_name Front of 1st Parentheses,TALAGEDIB
2020-09-21T16:21:40Z,1027,invest_idb_name,17-AAG
2020-09-21T16:21:40Z,1027,invest_idb_name,"TANESPIMYCIN (17-AAG, KOS-953)"
2020-09-21T16:21:40Z,1027,invest_idb_name Front of 1st Parentheses,TANESPIMYCIN
2020-09-21T16:21:40Z,1027,invest_idb_name Inside 1st Parentheses,17-AAG
2020-09-21T16:21:40Z,1027,invest_idb_name Inside 1st Parentheses,KOS-953
2020-09-21T16:21:40Z,1030,invest_idb_name,AZD6094
