scrape_datetime,rn_url,concept_synonym_type,concept_synonym_name
2020-09-15 18:22:10,https://chem.nlm.nih.gov/chemidplus/rn/63749-94-0,Results Name,Sulfametrole mixture with trimethoprim
2020-09-15 18:22:10,https://chem.nlm.nih.gov/chemidplus/rn/63749-94-0,Name of Substance,Lidaprim
2020-09-15 18:22:10,https://chem.nlm.nih.gov/chemidplus/rn/63749-94-0,Name of Substance,Sulfametrole mixture with trimethoprim
2020-09-15 18:22:10,https://chem.nlm.nih.gov/chemidplus/rn/63749-94-0,Synonyms,Co-Soltrim
2020-09-15 18:22:10,https://chem.nlm.nih.gov/chemidplus/rn/63749-94-0,Synonyms,Quam
2020-09-15 18:22:10,https://chem.nlm.nih.gov/chemidplus/rn/63749-94-0,Synonyms,Trimet
2020-09-15 18:22:10,https://chem.nlm.nih.gov/chemidplus/rn/63749-94-0,Systematic Name,"Benzenesulfonamide, 4-amino-N-(4-methoxy-1,2,5-thiadiazol-3-yl)-, mixt. with 5-((3,4,5-trimethoxyphenyl)methyl)-2,4-pyrimidinediamine"
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Name of Substance,Dexamethasone sodium phosphate [USP:BAN:JAN]
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,MeSH Heading,Dexamethasone 21-phosphate
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,21-Disodium phosphate dexamethasone
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,"9-Fluoro-11beta,17,21-trihydroxy-16alpha-methylpregna-1,4-diene-3,20-dione 21-(dihydrogen phosphate) disodium salt"
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Ak-Dex
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Baldex
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Colvasone
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Corson
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dalalone
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Decadron
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,"Decadron Inhalation, Injection, Ophthalmic Solution and Ointment, and Topical Cream"
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Decadron phosphate
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Decdan
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexabene
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexacort
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexadreson
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexagel
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexagro
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexaject SP
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexamethasone 21-phosphate disodium salt
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexamethasone disodium phosphate
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexamethasone sodium phosphate
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dexamethasone-21-phosphate disodium salt
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Dezone
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Disodium dexamethasone phosphate
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,EINECS 219-243-0
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Hexadrol
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Hexadrol Injectable
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Maxidex
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Maxidex Ointment
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Megacort
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Onadron
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Orgadrone
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Sodium dexamethasone phosphate
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Soldesam
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Solu-Decadron
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Spersadox
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,Turbinaire
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Synonyms,UNII-AI9376Y64P
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Systematic Names,Dexamethasone 21-(disodium phosphate)
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Systematic Names,"Pregna-1,4-diene-3,20-dione, 9-fluoro-11,17-dihydroxy-16-methyl-21-(phosphonooxy)-, disodium salt, (11beta,16alpha)-"
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Systematic Names,"Pregna-1,4-diene-3,20-dione, 9-fluoro-11,17-dihydroxy-16-methyl-21-(phosphonooxy)-, sodium salt (1:2), (11beta,16alpha)-"
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Systematic Names,"Pregna-1,4-diene-3,20-dione, 9-fluoro-11-beta,17,21-trihydroxy-16-alpha-methyl-, 21-(dihydrogen phosphate) disodium salt"
2020-09-15 18:26:24,https://chem.nlm.nih.gov/chemidplus/rn/2392-39-4,Mixture Name,Neodecadron
2020-09-15 18:27:04,https://chem.nlm.nih.gov/chemidplus/rn/51-21-8,Name of Substance,Fluorouracil [USAN:USP:INN:BAN:JAN]
2020-09-15 18:27:04,https://chem.nlm.nih.gov/chemidplus/rn/51-21-8,MeSH Heading,Fluorouracil
2020-09-15 18:27:04,https://chem.nlm.nih.gov/chemidplus/rn/51-21-8,Synonyms,"2,4(1H,3H)-Pyrimidinedione, 5-fluoro-"
2020-09-15 18:27:04,https://chem.nlm.nih.gov/chemidplus/rn/51-21-8,Synonyms,"2,4-Dioxo-5-fluoropyrimidine"
2020-09-15 18:27:04,https://chem.nlm.nih.gov/chemidplus/rn/51-21-8,Synonyms,5-Faracil
2020-09-15 18:27:04,https://chem.nlm.nih.gov/chemidplus/rn/51-21-8,Synonyms,"5-Fluor-2,4(1H,3H)-pyrimidindion"
