scrape_datetime,resource_agency,resource_link,rn_url
2020-09-17T22:27:16Z,ClinicalTrials.gov,https://clinicaltrials.gov/search/intervention=Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,DailyMed,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,DailyMed Mob,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,DrugPortal,https://druginfo.nlm.nih.gov/drugportal/rn/444731-52-6,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,HSDB,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/8210,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,HSDB Mob,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/8210,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,LactMed,https://www.ncbi.nlm.nih.gov/books/n/lactmed/LM1273,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,LactMed Mob,https://www.ncbi.nlm.nih.gov/books/n/lactmed/LM1273,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,LiverTox,https://www.ncbi.nlm.nih.gov/books/n/livertox/Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,MedlinePlusAll,https://vsearch.nlm.nih.gov/vivisimo/cgi-bin/query-meta?v:project=medlineplus&x=44&y=10&query=Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,MedlinePlusAll Mob,https://vsearch.nlm.nih.gov/vivisimo/cgi-bin/query-meta?v:project=medlineplus&x=44&y=10&query=Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,MedlinePlusDrug,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a610013.html,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,MedlinePlusDrug Mob,http://m.medlineplus.gov/druginfo/meds/a610013.html,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,MeSH,https://meshb.nlm.nih.gov/#/fieldSearch?searchInField=allTerms&sort=&size=20&searchType=exactMatch&searchMethod=FullWord&q=Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,Pillbox,https://pillbox.nlm.nih.gov/pillimage/search_results.php?submit=Search&splid=&getingredient=pazopanib#results,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,PubChem,https://pubchem.ncbi.nlm.nih.gov/#query=444731-52-6,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,PubMed,https://www.ncbi.nlm.nih.gov/sites/entrez?cmd=search&db=pubmed&cmd_current=Limits&term=Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
2020-09-17T22:27:16Z,PubMed Mob,https://www.ncbi.nlm.nih.gov/m/pubmed/?term=Pazopanib,https://chem.nlm.nih.gov/chemidplus/rn/444731-52-6
